Date,Open,High,Low,Close,Adj Close,Volume
2017-11-01,48.020000,53.959999,46.549999,50.980000,47.905273,8184900
2017-12-01,50.259998,50.509998,44.599998,45.070000,42.351723,6806700
2018-01-01,45.209999,58.450001,45.209999,57.080002,53.637375,10632000
2018-02-01,54.799999,57.709999,48.250000,57.049999,53.609177,8136600
2018-03-01,55.740002,57.959999,54.209999,55.509998,52.162060,6037200
2018-04-01,55.980000,55.980000,50.700001,52.480000,49.802399,9334900
2018-05-01,52.500000,54.480000,47.599998,51.040001,48.435875,7123000
2018-06-01,49.430000,50.360001,39.900002,40.790001,38.708836,12315100
2018-07-01,40.220001,42.950001,39.060001,42.669998,40.492920,7910600
2018-08-01,43.380001,45.250000,38.810001,44.950001,42.656593,6173400
2018-09-01,44.680000,46.849998,42.259998,45.470001,43.150063,5986800
2018-10-01,46.049999,46.500000,36.759998,39.130001,37.285851,7336300
2018-11-01,39.250000,41.139999,33.900002,37.869999,36.085228,7154500
2018-12-01,38.500000,38.500000,31.379999,33.099998,31.540033,9775600
2019-01-01,32.730000,39.340000,32.430000,37.240002,35.484921,8186400
2019-02-01,35.240002,36.730000,32.020000,34.250000,32.635834,12583900
2019-03-01,34.630001,36.349998,33.060001,35.869999,34.179482,7719100
2019-04-01,36.080002,44.180000,35.810001,43.080002,41.913139,12272700
2019-05-01,43.020000,44.930000,41.040001,44.139999,42.944424,8501100
2019-06-01,44.410000,45.980000,42.810001,45.770000,44.530277,6206400
2019-07-01,46.500000,48.680000,44.869999,46.189999,44.938896,8126600
2019-08-01,47.380001,48.430000,45.119999,47.250000,45.970188,5382500
2019-09-01,47.830002,49.900002,46.200001,46.599998,45.337791,6083800
2019-10-01,47.330002,48.029999,42.060001,46.520000,45.555115,8010800
2019-11-01,48.250000,49.900002,47.380001,48.389999,47.386330,11441500
2019-12-01,49.380001,53.240002,49.180000,49.900002,48.865013,5484400
2020-01-01,50.680000,50.820000,45.750000,45.900002,44.947975,5560900
2020-02-01,46.139999,46.830002,40.759998,41.980000,41.109280,7314700
2020-03-01,42.009998,48.750000,35.820000,48.279999,47.278610,9859900
2020-04-01,47.619999,55.919998,47.610001,51.439999,51.439999,10586000
2020-05-01,51.820000,54.840000,50.500000,50.840000,50.840000,6537600
2020-06-01,51.299999,58.950001,50.430000,55.900002,55.900002,10004600
2020-07-01,55.580002,60.000000,54.720001,55.009998,55.009998,3932800
2020-08-01,55.490002,68.699997,55.000000,67.370003,67.370003,13318500
2020-09-01,69.220001,72.820000,66.019997,70.900002,70.900002,15914200
